Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Superkingdom	Phylum	Class	Order	Genus	Species

Type	PHOL_ECOLI	GCF_000005845.2	+	699574	700326	-6947	-6195	0	NP_415201.1	UMP phosphatase	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
Type	PHOL_ECOLI	GCF_000005845.2	+	697513	699177	-5798	-4134	0	NP_415200.1	asparagine synthetase B	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
Type	PHOL_ECOLI	GCF_000005845.2	-	695101	696276	-2897	-1722	0	NP_415195.1	3-demethoxyubiquinol 3-hydroxylase	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
Type	PHOL_ECOLI	GCF_000005845.2	+	693531	694955	-1576	-152	19	NP_415194.1	isopentenyl-adenosine A37 tRNA methylthiolase	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
Type	PHOL_ECOLI	GCF_000005845.2	+	692338	693378	1	1041	18	NP_415193.2	PhoH-like protein	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
Type	PHOL_ECOLI	GCF_000005845.2	+	691874	692341	1038	1505	17	NP_415192.1	endoribonuclease YbeY	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
Type	PHOL_ECOLI	GCF_000005845.2	+	690906	691784	1595	2473	16	NP_415191.1	CorC-HlyC family protein YbeX	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
Type	PHOL_ECOLI	GCF_000005845.2	+	689343	690881	2498	4036	15	NP_415190.1	apolipoprotein N-acyltransferase	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655
Type	PHOL_ECOLI	GCF_000005845.2	+	687997	688977	4402	5382	0	NP_415189.2	IS5 family transposase and trans-activator	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli str. K-12 substr. MG1655

Type	A1UU40_BARBK	GCF_000015445.1	+	1283819	1284424	-3597	-2992	0	WP_005767951.1	recombination mediator RecR	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bartonella	Bartonella bacilliformis
