UniProtKB-AC,UniProtKB-ID,GeneID,RefSeq,UniParc,EMBL-CDS,Ensembl,target,ncbi_code
,,,WP_106300434.1,,,,WP_106300434.1,WP_106300434.1
,,,WP_072620600.1,,,,WP_072620600.1,WP_072620600.1
,,,WP_144416121.1,,,,WP_144416121.1,WP_144416121.1
,,,WP_162425297.1,,,,WP_162425297.1,WP_162425297.1
,,,WP_009555277.1,,,,WP_009555277.1,WP_009555277.1
,,,WP_023071406.1,,,,WP_023071406.1,WP_023071406.1
,,,WP_166274714.1,,,,WP_166274714.1,WP_166274714.1
,,,WP_088243775.1,,,,WP_088243775.1,WP_088243775.1
,,,WP_015203352.1,,,,WP_015203352.1,WP_015203352.1
,,,WP_048321220.1,,,,WP_048321220.1,WP_048321220.1
,,,WP_068817853.1,,,,WP_068817853.1,WP_068817853.1
,,,WP_144868371.1,,,,WP_144868371.1,WP_144868371.1
,,,WP_080808153.1,,,,WP_080808153.1,WP_080808153.1
,,,WP_073548873.1,,,,WP_073548873.1,WP_073548873.1
,,,WP_121967814.1,,,,WP_121967814.1,WP_121967814.1
,,,WP_036482472.1,,,,WP_036482472.1,WP_036482472.1
,,,WP_107671288.1,,,,WP_107671288.1,WP_107671288.1
,,,WP_085435726.1,,,,WP_085435726.1,WP_085435726.1
,,,WP_068390409.1,,,,WP_068390409.1,WP_068390409.1
,,,WP_096621581.1,,,,WP_096621581.1,WP_096621581.1
,,,WP_071992200.1,,,,WP_071992200.1,WP_071992200.1
,,,WP_019504521.1,,,,WP_019504521.1,WP_019504521.1
,,,WP_009344401.1,,,,WP_009344401.1,WP_009344401.1
,,,WP_067774034.1,,,,WP_067774034.1,WP_067774034.1
,,,WP_017295263.1,,,,WP_017295263.1,WP_017295263.1
,,,WP_040554050.1,,,,WP_040554050.1,WP_040554050.1
,,,WP_018400175.1,,,,WP_018400175.1,WP_018400175.1
,,,WP_099533797.1,,,,WP_099533797.1,WP_099533797.1
,,,WP_084782559.1,,,,WP_084782559.1,WP_084782559.1
,,,WP_161825902.1,,,,WP_161825902.1,WP_161825902.1
,,,WP_106456638.1,,,,WP_106456638.1,WP_106456638.1
,,,WP_071591932.1,,,,WP_071591932.1,WP_071591932.1
,,,WP_084639422.1,,,,WP_084639422.1,WP_084639422.1
,,,WP_106287117.1,,,,WP_106287117.1,WP_106287117.1
,,,WP_106258366.1,,,,WP_106258366.1,WP_106258366.1
,,,WP_082218351.1,,,,WP_082218351.1,WP_082218351.1
,,,WP_146296165.1,,,,WP_146296165.1,WP_146296165.1
,,,WP_017711242.1,,,,WP_017711242.1,WP_017711242.1
,,,WP_104397532.1,,,,WP_104397532.1,WP_104397532.1
,,,WP_088894709.1,,,,WP_088894709.1,WP_088894709.1
,,,WP_017304341.1,,,,WP_017304341.1,WP_017304341.1
,,,WP_015168633.1,,,,WP_015168633.1,WP_015168633.1
,,,WP_015200940.1,,,,WP_015200940.1,WP_015200940.1
,,,WP_028954273.1,,,,WP_028954273.1,WP_028954273.1
,,,WP_030007129.1,,,,WP_030007129.1,WP_030007129.1
,,,WP_106882388.1,,,,WP_106882388.1,WP_106882388.1
,,,WP_052584896.1,,,,WP_052584896.1,WP_052584896.1
,,,WP_124972497.1,,,,WP_124972497.1,WP_124972497.1
,,,WP_132866703.1,,,,WP_132866703.1,WP_132866703.1
,,,WP_169613988.1,,,,WP_169613988.1,WP_169613988.1
,,,WP_162548634.1,,,,WP_162548634.1,WP_162548634.1
,,,WP_024544479.1,,,,WP_024544479.1,WP_024544479.1
,,,WP_168571633.1,,,,WP_168571633.1,WP_168571633.1
,,,WP_026100966.1,,,,WP_026100966.1,WP_026100966.1
,,,WP_019500117.1,,,,WP_019500117.1,WP_019500117.1
,,,WP_096691558.1,,,,WP_096691558.1,WP_096691558.1
K9T7W9,,,WP_015144817.1,,AFY78518.1,,WP_015144817.1,WP_015144817.1
K9XRG4,,,WP_015192774.1,,AFZ35103.1,,WP_015192774.1,WP_015192774.1
E0UCL3,,,WP_013322190.1,,ADN14084.1,,WP_013322190.1,WP_013322190.1
L8LTP2,,,WP_006511796.1,,ELS01024.1,,WP_006511796.1,WP_006511796.1
D3EPV1,,,WP_012954188.1,,ADB95501.1,,WP_012954188.1,WP_012954188.1
K9Y8B4,,,WP_015224605.1,,AFZ42727.1,,WP_015224605.1,WP_015224605.1
L8LRC1,,,WP_006528479.1,,ELR98690.1,,WP_006528479.1,WP_006528479.1
K9YXK8,,,WP_015230632.1,,AFZ51654.1,,WP_015230632.1,WP_015230632.1
K9S065,,,WP_015126244.1,,AFY62707.1,,WP_015126244.1,WP_015126244.1
K9SLU8,,,WP_015166536.1,,AFY71582.1,,WP_015166536.1,WP_015166536.1
U5DQ19,,,WP_022606389.1,,ERN41795.1,,WP_022606389.1,WP_022606389.1
