
 ### Operon type: 1

	 WP_024544479.1	[0, 0, 39, 51, 52, 13, 12, 0, 0]
	 WP_075889505.1	[0, 39, 0, 51, 52, 13, 12, 37, 0]

 ### Operon type: 2

	 WP_036482472.1	[34, 33, 46, 51, 52, 32, 31, 30, 0]
	 WP_019504521.1	[34, 33, 46, 51, 52, 32, 31, 0, 30]

 ### Operon type: 3

	 WP_015192774.1	[0, 0, 46, 51, 52, 32, 31, 9, 0]

 ### Operon type: 4

	 WP_104397532.1	[0, 22, 21, 51, 52, 20, 19, 0, 0]
	 BAG05582.1	[0, 22, 21, 51, 52, 20, 0, 0, 19]

 ### Operon type: 5

	 WP_071455489.1	[0, 23, 20, 51, 52, 49, 0, 0, 0]

 ### Operon type: 6

	 WP_146296165.1	[36, 0, 0, 51, 52, 49, 0, 0, 23]

 ### Operon type: 7

	 WP_107671288.1	[0, 0, 29, 51, 52, 28, 0, 0, 0]
	 WP_012954188.1	[0, 0, 29, 51, 52, 28, 0, 0, 0]

 ### Operon type: 8

	 PSP15035.1	[0, 0, 46, 51, 52, 0, 4, 3, 0]
	 PSP17127.1	[0, 16, 46, 51, 52, 4, 3, 0, 0]

 ### Operon type: 9

	 WP_121967814.1	[0, 41, 40, 51, 52, 49, 35, -1, 0]
	 WP_006455717.1	[-1, 41, 40, 51, 52, 49, 35, 0, 0]

 ### Operon type: 10

	 WP_080808153.1	[0, 41, 40, 51, 52, 49, 0, 0, 0]

 ### Operon type: 11

	 WP_073607616.1	[-1, 41, 40, 51, 52, 49, 15, 14, 0]

 ### Operon type: 12

	 WP_169613988.1	[-1, 0, 0, 51, 52, 49, 15, 14, 0]

 ### Operon type: 13

	 WP_015126244.1	[0, 0, 0, 51, 52, 27, 49, 0, 8]
	 OLP20417.1	[8, 0, 46, 51, 52, 27, 49, 0, 0]

 ### Operon type: 14

	 WP_017295263.1	[0, 0, 26, 51, 52, 0, 0, 0, 0]
	 WP_069790862.1	[0, 0, 26, 51, 52, 0, 0, 0, 0]

 ### Operon type: 15

	 AIE75570.1	[0, 0, 44, 51, 52, 0, 0, 0, 0]
	 PZV25621.1	[0, 0, 44, 51, 52, 0, 0, 0, 0]

 ### Operon type: 16

	 WP_144868371.1	[0, 0, 0, 51, 52, 0, 0, 0, 0]
	 WP_124972497.1	[0, 0, 0, 51, 52, 0, 0, 0, 0]

 ### Operon type: 17

	 WP_072620600.1	[0, 0, 0, 51, 52, 49, 0, 0, 48]
	 WP_162425297.1	[0, 0, 0, 51, 52, 49, 47, 0, 0]
	 WP_166274714.1	[0, 0, 46, 51, 52, 49, 0, 0, 0]
	 WP_067774034.1	[0, 0, 46, 51, 52, 27, 49, 38, 37]
	 WP_040554050.1	[25, 0, 46, 51, 52, 49, 0, 0, 0]
	 WP_099533797.1	[0, 0, 0, 51, 52, 49, 0, 0, 0]
	 WP_084782559.1	[0, 0, 0, 51, 52, 49, 0, 0, 0]
	 WP_161825902.1	[0, 0, 0, 51, 52, 27, 49, 0, -1]
	 WP_106287117.1	[0, 0, 46, 51, 52, 49, 0, 0, 0]
	 WP_106258366.1	[0, 47, 0, 51, 52, 49, 0, 0, 0]
	 WP_017304341.1	[0, 18, 0, 51, 52, 49, 0, 0, 0]
	 WP_132866703.1	[16, 0, 46, 51, 52, 49, 0, 0, 0]
	 WP_168571633.1	[0, 43, 46, 51, 52, 49, 38, 37, 0]
	 WP_013322190.1	[0, 0, 0, 51, 52, 0, 0, 0, 18]
	 WP_015224605.1	[0, 0, 0, 51, 52, 49, 0, 0, 0]
	 WP_006528479.1	[0, 0, 46, 51, 52, 0, 0, 0, 0]
	 WP_015166536.1	[0, 0, 46, 51, 52, 10, 0, 0, 0]
	 WP_022606389.1	[0, 0, 0, 51, 52, 49, 0, 0, 0]
	 WP_023172072.1	[0, 0, 46, 51, 52, 27, 0, 0, 0]
	 WP_015116529.1	[17, 0, 46, 51, 52, 49, 0, 25, 0]
	 WP_069967886.1	[0, 0, 46, 51, 52, 49, 38, 37, 0]
	 WP_046281311.1	[0, 0, 46, 51, 52, 0, 49, 38, 37]
	 ERT09159.1	[0, 46, 0, 51, 52, 49, 38, 37, 0]
	 EDX73328.1	[0, 46, 0, 51, 52, 49, 5, 0, 0]
	 RNJ67070.1	[0, 0, 0, 51, 52, 49, 0, 28, 0]
	 CDM93748.1	[0, 0, 46, 51, 52, 0, 49, 38, 0]
	 TVQ19912.1	[0, 0, 46, 51, 52, 49, 0, 0, 0]
	 KST67722.1	[0, 17, 46, 51, 52, 49, 38, 0, 0]
	 RMG07956.1	[0, 0, 0, 51, 52, 49, 0, -1, 0]
	 KOR37720.1	[0, 0, 46, 51, 52, 49, 0, 0, 0]
	 PZV10928.1	[0, 0, 0, 51, 52, 10, 0, 0, 0]

 ### Operon type: 18

	 OKH36044.1	[0, 0, 46, 51, 50, 27, 49, 38, 37]

 ### Operon type: 19

	 WP_015200940.1	[0, 17, 46, 51, 52, 49, 0, 0, 37]

 ### Operon type: 20

	 WP_071102121.1	[0, 46, 0, 51, 52, 49, 5, 37, 9]

 ### Operon type: 21

	 TVQ43653.1	[0, 0, 0, 51, 52, 0, 2, 0, 0]

 ### Operon type: 22

	 WP_006511796.1	[0, 0, 0, 51, 52, 0, 0, 0, 23]

 ### Operon type: 23

	 WP_015144817.1	[0, 21, 0, 51, 52, 0, 0, 0, 0]

 ### Operon type: 24

	 AXY68227.1	[0, 2, 0, 51, 52, 27, 49, 0, 0]

 ### Operon type: 25

	 PZD71832.1	[9, 1, 46, 51, 52, 49, 0, 0, 0]

 ### Operon type: 26

	 WP_068817853.1	[43, 42, 46, 51, 52, 49, 0, 0, 0]

 ### Operon type: 27

	 AFY81343.1	[0, 0, 46, 51, 50, 49, 37, 36, 0]

 ### Operon type: 28

	 BAZ39800.1	[0, 17, 46, 51, 52, 27, 49, 23, 0]

 ### Operon type: 29

	 OUC15092.1	[0, 42, 46, 51, 52, 27, 49, 1, 0]

 ### Operon type: 30

	 WP_015230632.1	[21, 0, 0, 51, 52, 49, 0, 45, 0]

 ### Operon type: 31

	 WP_071591932.1	[24, 24, 0, 51, 52, 49, 33, 0, 0]

 ### Operon type: 32

	 WP_088243775.1	[0, -1, 46, 51, 52, 0, 44, 0, 0]

 ### Operon type: 33

	 WP_019500117.1	[11, 11, 46, 51, 52, 27, 10, 48, 0]

 ### Operon type: 34

	 WP_015218062.1	[0, 0, 7, 51, 52, 0, 6, 6, 0]

 ### Operon type: 35

	 WP_011431089.1	[0, 0, 0, 0, 52, 0, 7, 0, 0]

 ### Operon type: 36

	 WP_073548873.1	[0, -1, 39, 51, 52, 49, 38, 37, 36]

 ### Operon type: 37

	 AFY67793.1	[0, 0, 27, 51, 50, 0, 0, 0, 0]
