Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Superkingdom	Phylum	Class	Order	Genus	Species

Type	WP_044642606.1	GCF_902375465.1	-	950323	951243	-3239	-2319	0	WP_044642602.1	hypothetical protein	Bacteria	Bacillota	Bacilli	Bacillales	Risungbinella	Risungbinella massiliensis
Type	WP_044642606.1	GCF_902375465.1	+	951535	951864	-2027	-1698	52	WP_187118726.1	YlxM family DNA-binding protein	Bacteria	Bacillota	Bacilli	Bacillales	Risungbinella	Risungbinella massiliensis
Type	WP_044642606.1	GCF_902375465.1	+	951893	953239	-1669	-323	51	WP_044642604.1	signal recognition particle protein	Bacteria	Bacillota	Bacilli	Bacillales	Risungbinella	Risungbinella massiliensis
Type	WP_044642606.1	GCF_902375465.1	+	953275	953532	-287	-30	50	WP_044642605.1	30S ribosomal protein S16	Bacteria	Bacillota	Bacilli	Bacillales	Risungbinella	Risungbinella massiliensis
Type	WP_044642606.1	GCF_902375465.1	+	953563	953790	1	228	54	WP_044642606.1	KH domain-containing protein	Bacteria	Bacillota	Bacilli	Bacillales	Risungbinella	Risungbinella massiliensis
Type	WP_044642606.1	GCF_902375465.1	+	953793	954335	231	773	48	WP_044642607.1	ribosome maturation factor RimM	Bacteria	Bacillota	Bacilli	Bacillales	Risungbinella	Risungbinella massiliensis
Type	WP_044642606.1	GCF_902375465.1	+	954345	955085	783	1523	47	WP_044642966.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD	Bacteria	Bacillota	Bacilli	Bacillales	Risungbinella	Risungbinella massiliensis
Type	WP_044642606.1	GCF_902375465.1	+	955194	955538	1632	1976	46	WP_044642608.1	50S ribosomal protein L19	Bacteria	Bacillota	Bacilli	Bacillales	Risungbinella	Risungbinella massiliensis
Type	WP_044642606.1	GCF_902375465.1	+	955856	956344	2294	2782	45	WP_044642967.1	signal peptidase I	Bacteria	Bacillota	Bacilli	Bacillales	Risungbinella	Risungbinella massiliensis

Type	WP_092085186.1	GCF_900100125.1	+	19341	22982	-5476	-1835	0	WP_092085194.1	Rib/alpha-like domain-containing protein	Bacteria	Bacillota	Bacilli	Lactobacillales	Dolosicoccus	Dolosicoccus paucivorans
Type	WP_092085186.1	GCF_900100125.1	+	18106	19320	-1814	-600	0	WP_092085192.1	hypothetical protein	Bacteria	Bacillota	Bacilli	Lactobacillales	Dolosicoccus	Dolosicoccus paucivorans
Type	WP_092085186.1	GCF_900100125.1	+	17934	18038	-532	-428	0	WP_159427591.1	LPXTG cell wall anchor domain-containing protein	Bacteria	Bacillota	Bacilli	Lactobacillales	Dolosicoccus	Dolosicoccus paucivorans
Type	WP_092085186.1	GCF_900100125.1	+	17537	17800	-294	-31	50	WP_092085188.1	30S ribosomal protein S16	Bacteria	Bacillota	Bacilli	Lactobacillales	Dolosicoccus	Dolosicoccus paucivorans
Type	WP_092085186.1	GCF_900100125.1	+	17257	17505	1	249	54	WP_092085186.1	KH domain-containing protein	Bacteria	Bacillota	Bacilli	Lactobacillales	Dolosicoccus	Dolosicoccus paucivorans
Type	WP_092085186.1	GCF_900100125.1	+	16583	17110	396	923	48	WP_092085184.1	ribosome maturation factor RimM	Bacteria	Bacillota	Bacilli	Lactobacillales	Dolosicoccus	Dolosicoccus paucivorans
Type	WP_092085186.1	GCF_900100125.1	+	15853	16593	913	1653	47	WP_092085206.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD	Bacteria	Bacillota	Bacilli	Lactobacillales	Dolosicoccus	Dolosicoccus paucivorans
