Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Superkingdom	Phylum	Class	Order	Genus	Species

Type	WP_072620600.1	GCF_001890765.1	-	1950770	1951804	-4407	-3373	0	WP_072620596.1	J domain-containing protein	Bacteria	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulina	Spirulina major
Type	WP_072620600.1	GCF_001890765.1	-	1951838	1954060	-3339	-1117	0	WP_072620597.1	molecular chaperone DnaK	Bacteria	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulina	Spirulina major
Type	WP_072620600.1	GCF_001890765.1	+	1954257	1954592	-920	-585	0	WP_072620598.1	hypothetical protein	Bacteria	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulina	Spirulina major
Type	WP_072620600.1	GCF_001890765.1	+	1954927	1955178	-250	1	51	WP_072620599.1	30S ribosomal protein S16	Bacteria	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulina	Spirulina major
Type	WP_072620600.1	GCF_001890765.1	+	1955178	1955576	1	399	52	WP_072620600.1	KH domain-containing protein	Bacteria	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulina	Spirulina major
Type	WP_072620600.1	GCF_001890765.1	+	1955589	1956539	412	1362	49	WP_072623062.1	PhoH family protein	Bacteria	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulina	Spirulina major
Type	WP_072620600.1	GCF_001890765.1	-	1956752	1957279	1575	2102	0	WP_072620601.1	hypothetical protein	Bacteria	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulina	Spirulina major
Type	WP_072620600.1	GCF_001890765.1	-	1957376	1957843	2199	2666	0	WP_072620602.1	type II 3-dehydroquinate dehydratase	Bacteria	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulina	Spirulina major
Type	WP_072620600.1	GCF_001890765.1	-	1957892	1958032	2715	2855	48	WP_175551105.1	hypothetical protein	Bacteria	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulina	Spirulina major

Type	WP_162425297.1	GCF_010091945.1	+	1117	1695	-1883	-1305	0	WP_162425293.1	Swt1 family HEPN domain-containing protein	Bacteria	Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Myxacorys	Myxacorys almedinensis
Type	WP_162425297.1	GCF_010091945.1	+	1794	2054	-1206	-946	0	WP_162425294.1	hypothetical protein	Bacteria	Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Myxacorys	Myxacorys almedinensis
Type	WP_162425297.1	GCF_010091945.1	+	2110	2466	-890	-534	0	WP_238393430.1	hypothetical protein	Bacteria	Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Myxacorys	Myxacorys almedinensis
