UniProtKB-AC,UniProtKB-ID,GeneID,RefSeq,UniParc,EMBL-CDS,Ensembl,target,ncbi_code
P0A9K3,PHOL_ECOLI,,NP_415193.2,,AAB40862.1,,PHOL_ECOLI,NP_415193.2
D7AYG7,D7AYG7_NOCDD,,WP_013151759.1,,ADH66152.1,,D7AYG7_NOCDD,WP_013151759.1
D5EEA3,D5EEA3_AMICL,,,,ADE56885.1,,D5EEA3_AMICL,ADE56885.1
I4BVM3,I4BVM3_ACEMN,,,,AFM21330.1,,I4BVM3_ACEMN,AFM21330.1
Q9RSY1,Q9RSY1_DEIRA,,NP_295711.1,,AAF11540.1,,Q9RSY1_DEIRA,NP_295711.1
E4U8H2,E4U8H2_OCEP5,,,,ADR36652.1,,E4U8H2_OCEP5,ADR36652.1
R7AQW7,R7AQW7_9BACE,,,,CDD55821.1,,R7AQW7_9BACE,CDD55821.1
U5SC87,U5SC87_9LACT,,,,AGY81693.1,,U5SC87_9LACT,AGY81693.1
Q2S2P3,Q2S2P3_SALRD,,YP_445538.1,,ABC43690.1,,Q2S2P3_SALRD,YP_445538.1
A1UU40,A1UU40_BARBK,,WP_011807432.1,,ABM45079.1,,A1UU40_BARBK,WP_011807432.1
E1QFI5,E1QFI5_DESB2,,WP_013257775.1,,ADK84321.1,,E1QFI5_DESB2,WP_013257775.1
W7C1W6,W7C1W6_9LIST,,,,,,W7C1W6_9LIST,
A0A179D2U7,A0A179D2U7_9BACT,,WP_068671695.1,,OAQ19958.1,,A0A179D2U7_9BACT,WP_068671695.1
A0A0K1PB02,A0A0K1PB02_9DELT,,WP_050725030.1,,AKU90596.1,,A0A0K1PB02_9DELT,WP_050725030.1
A0A081SIJ3,A0A081SIJ3_9CHLB,,,,KER10746.1,,A0A081SIJ3_9CHLB,KER10746.1
A0A0S3QV15,A0A0S3QV15_9AQUI,,WP_068550175.1,,BAT72189.1,,A0A0S3QV15_9AQUI,WP_068550175.1
A0A102DF82,A0A102DF82_9SPHN,,WP_067741979.1,,KUR80369.1,,A0A102DF82_9SPHN,WP_067741979.1
A0A0B6WVG5,A0A0B6WVG5_9BACT,,WP_041975289.1,,CDM65288.1,,A0A0B6WVG5_9BACT,WP_041975289.1
A0A1D9BE35,A0A1D9BE35_9NEIS,,WP_070529178.1,,AOY00583.1,,A0A1D9BE35_9NEIS,WP_070529178.1
A0A0S1Y445,A0A0S1Y445_9BORD,,WP_057653604.1,,ALM84752.1,,A0A0S1Y445_9BORD,WP_057653604.1
A0A132PIT0,A0A132PIT0_9MYCO,,WP_067852047.1,,KWX22260.1,,A0A132PIT0_9MYCO,WP_067852047.1
A0A0U4VKN7,A0A0U4VKN7_9PSED,,WP_059313908.1,,ALZ83659.1,,A0A0U4VKN7_9PSED,WP_059313908.1
A0A1J5A2J2,A0A1J5A2J2_9BACT,,,,,,A0A1J5A2J2_9BACT,
A0A1F3CXR1,A0A1F3CXR1_9BACT,,,,OFX35328.1,,A0A1F3CXR1_9BACT,OFX35328.1
A0A1G1DHS7,A0A1G1DHS7_9BACT,,,,OGW06857.1,,A0A1G1DHS7_9BACT,OGW06857.1
A0A1F2T079,A0A1F2T079_9BACT,,,,OFW14531.1,,A0A1F2T079_9BACT,OFW14531.1
,,,WP_009632337.1,,,,WP_009632337.1,WP_009632337.1
B2IVK8,,,WP_012409384.1,,ACC81393.1,,ACC81393.1,WP_012409384.1
