UniProtKB-AC,UniProtKB-ID,GeneID,RefSeq,UniParc,EMBL-CDS,Ensembl,target,ncbi_code
,,,WP_044642606.1,,,,WP_044642606.1,WP_044642606.1
,,,WP_165044303.1,,,,WP_165044303.1,WP_165044303.1
,,,WP_066779811.1,,,,WP_066779811.1,WP_066779811.1
,,,WP_020588717.1,,,,WP_020588717.1,WP_020588717.1
,,,WP_156705555.1,,,,WP_156705555.1,WP_156705555.1
,,,WP_028264296.1,,,,WP_028264296.1,WP_028264296.1
,,,WP_092085186.1,,,,WP_092085186.1,WP_092085186.1
,,,WP_162539957.1,,,,WP_162539957.1,WP_162539957.1
,,,WP_138268653.1,,,,WP_138268653.1,WP_138268653.1
,,,WP_058985486.1,,,,WP_058985486.1,WP_058985486.1
,,,WP_166626503.1,,,,WP_166626503.1,WP_166626503.1
,,,WP_084053921.1,,,,WP_084053921.1,WP_084053921.1
,,,WP_036741206.1,,,,WP_036741206.1,WP_036741206.1
,,,WP_116552985.1,,,,WP_116552985.1,WP_116552985.1
,,,WP_021939060.1,,,,WP_021939060.1,WP_021939060.1
,,,WP_041739193.1,,,,WP_041739193.1,WP_041739193.1
,,,WP_120377795.1,,,,WP_120377795.1,WP_120377795.1
,,,WP_082671097.1,,,,WP_082671097.1,WP_082671097.1
,,,WP_174621182.1,,,,WP_174621182.1,WP_174621182.1
,,,WP_097677401.1,,,,WP_097677401.1,WP_097677401.1
,,,WP_070710341.1,,,,WP_070710341.1,WP_070710341.1
,,,WP_026961723.1,,,,WP_026961723.1,WP_026961723.1
,,,WP_121680293.1,,,,WP_121680293.1,WP_121680293.1
,,,WP_040228095.1,,,,WP_040228095.1,WP_040228095.1
,,,WP_168097847.1,,,,WP_168097847.1,WP_168097847.1
,,,WP_066169962.1,,,,WP_066169962.1,WP_066169962.1
,,,WP_084057338.1,,,,WP_084057338.1,WP_084057338.1
,,,WP_133579266.1,,,,WP_133579266.1,WP_133579266.1
,,,WP_041459500.1,,,,WP_041459500.1,WP_041459500.1
,,,WP_088005904.1,,,,WP_088005904.1,WP_088005904.1
,,,WP_108059770.1,,,,WP_108059770.1,WP_108059770.1
,,,WP_174306861.1,,,,WP_174306861.1,WP_174306861.1
,,,WP_165059976.1,,,,WP_165059976.1,WP_165059976.1
,,,WP_071131953.1,,,,WP_071131953.1,WP_071131953.1
,,,WP_123208283.1,,,,WP_123208283.1,WP_123208283.1
,,,WP_029165374.1,,,,WP_029165374.1,WP_029165374.1
,,,WP_165199465.1,,,,WP_165199465.1,WP_165199465.1
,,,WP_119067951.1,,,,WP_119067951.1,WP_119067951.1
,,,WP_093393933.1,,,,WP_093393933.1,WP_093393933.1
,,,WP_027984593.1,,,,WP_027984593.1,WP_027984593.1
,,,WP_089722705.1,,,,WP_089722705.1,WP_089722705.1
,,,WP_026963946.1,,,,WP_026963946.1,WP_026963946.1
,,,WP_131926248.1,,,,WP_131926248.1,WP_131926248.1
,,,WP_027985545.1,,,,WP_027985545.1,WP_027985545.1
,,,WP_175645309.1,,,,WP_175645309.1,WP_175645309.1
,,,WP_135346905.1,,,,WP_135346905.1,WP_135346905.1
,,,WP_053605992.1,,,,WP_053605992.1,WP_053605992.1
