Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Superkingdom	Phylum	Class	Order	Genus	Species

Type	WP_124972497.1	GCF_003864295.1	-	1023190	1023543	-2378	-2025	0	WP_124972504.1	Rieske (2Fe-2S) protein	Bacteria	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothece	Aphanothece sacrum
Type	WP_124972497.1	GCF_003864295.1	-	1023635	1024537	-1933	-1031	0	WP_124972502.1	LD-carboxypeptidase	Bacteria	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothece	Aphanothece sacrum
Type	WP_124972497.1	GCF_003864295.1	-	1024633	1025034	-935	-534	0	WP_124972501.1	IS200/IS605 family transposase	Bacteria	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothece	Aphanothece sacrum
Type	WP_124972497.1	GCF_003864295.1	+	1025328	1025576	-240	8	109	WP_124972499.1	30S ribosomal protein S16	Bacteria	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothece	Aphanothece sacrum
Type	WP_124972497.1	GCF_003864295.1	+	1025569	1025985	1	417	110	WP_124972497.1	KH domain-containing protein	Bacteria	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothece	Aphanothece sacrum
Type	WP_124972497.1	GCF_003864295.1	-	1026037	1026309	469	741	0	WP_124972495.1	50S ribosomal protein L27	Bacteria	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothece	Aphanothece sacrum
Type	WP_124972497.1	GCF_003864295.1	-	1026356	1026766	788	1198	0	WP_124972493.1	50S ribosomal protein L21	Bacteria	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothece	Aphanothece sacrum
Type	WP_124972497.1	GCF_003864295.1	-	1027113	1028171	1545	2603	0	WP_124972491.1	hypothetical protein	Bacteria	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothece	Aphanothece sacrum
Type	WP_124972497.1	GCF_003864295.1	-	1028345	1028983	2777	3415	0	WP_124972489.1	hypothetical protein	Bacteria	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothece	Aphanothece sacrum

Type	WP_095041880.1	GCF_900066015.1	-	407878	408348	-4310	-3840	0	WP_162292429.1	hypothetical protein	Bacteria	Chloroflexota	Ardenticatenia	Candidatus Promineifilales	Candidatus	Candidatus Promineifilum breve
Type	WP_095041880.1	GCF_900066015.1	+	406126	407406	-3368	-2088	0	WP_095041882.1	methionine adenosyltransferase	Bacteria	Chloroflexota	Ardenticatenia	Candidatus Promineifilales	Candidatus	Candidatus Promineifilum breve
Type	WP_095041880.1	GCF_900066015.1	+	404635	405972	-1934	-597	107	WP_095041881.1	signal recognition particle protein	Bacteria	Chloroflexota	Ardenticatenia	Candidatus Promineifilales	Candidatus	Candidatus Promineifilum breve
Type	WP_095041880.1	GCF_900066015.1	+	404044	404586	-548	-6	109	WP_197699841.1	30S ribosomal protein S16	Bacteria	Chloroflexota	Ardenticatenia	Candidatus Promineifilales	Candidatus	Candidatus Promineifilum breve
Type	WP_095041880.1	GCF_900066015.1	+	403792	404037	1	246	110	WP_095041880.1	KH domain-containing protein	Bacteria	Chloroflexota	Ardenticatenia	Candidatus Promineifilales	Candidatus	Candidatus Promineifilum breve
Type	WP_095041880.1	GCF_900066015.1	+	403189	403779	259	849	106	WP_095041879.1	ribosome maturation factor RimM	Bacteria	Chloroflexota	Ardenticatenia	Candidatus Promineifilales	Candidatus	Candidatus Promineifilum breve
Type	WP_095041880.1	GCF_900066015.1	+	401996	403120	918	2042	105	WP_095041878.1	DNA-processing protein DprA	Bacteria	Chloroflexota	Ardenticatenia	Candidatus Promineifilales	Candidatus	Candidatus Promineifilum breve
Type	WP_095041880.1	GCF_900066015.1	+	400901	401992	2046	3137	104	WP_095041877.1	sugar phosphate nucleotidyltransferase	Bacteria	Chloroflexota	Ardenticatenia	Candidatus Promineifilales	Candidatus	Candidatus Promineifilum breve
Type	WP_095041880.1	GCF_900066015.1	+	398376	400883	3155	5662	103	WP_095041876.1	type I DNA topoisomerase	Bacteria	Chloroflexota	Ardenticatenia	Candidatus Promineifilales	Candidatus	Candidatus Promineifilum breve

Type	WP_148133815.1	GCF_002777255.1	+	1524213	1525520	-3575	-2268	98	WP_236860309.1	amidohydrolase	Bacteria	Bacillota	Clostridia	Eubacteriales	Candidatus	Candidatus Formimonas warabiya
Type	WP_148133815.1	GCF_002777255.1	+	1523700	1524053	-2108	-1755	102	WP_236860211.1	YlxM family DNA-binding protein	Bacteria	Bacillota	Clostridia	Eubacteriales	Candidatus	Candidatus Formimonas warabiya
Type	WP_148133815.1	GCF_002777255.1	+	1522333	1523691	-1746	-388	107	WP_148133818.1	signal recognition particle protein	Bacteria	Bacillota	Clostridia	Eubacteriales	Candidatus	Candidatus Formimonas warabiya
Type	WP_148133815.1	GCF_002777255.1	+	1521982	1522242	-297	-37	109	WP_148133816.1	30S ribosomal protein S16	Bacteria	Bacillota	Clostridia	Eubacteriales	Candidatus	Candidatus Formimonas warabiya
Type	WP_148133815.1	GCF_002777255.1	+	1521717	1521944	1	228	110	WP_148133815.1	KH domain-containing protein	Bacteria	Bacillota	Clostridia	Eubacteriales	Candidatus	Candidatus Formimonas warabiya
Type	WP_148133815.1	GCF_002777255.1	+	1519657	1521177	768	2288	-1	DCMF_RS29570	pseudogene	Bacteria	Bacillota	Clostridia	Eubacteriales	Candidatus	Candidatus Formimonas warabiya
Type	WP_148133815.1	GCF_002777255.1	+	1518204	1519424	2521	3741	0	WP_148133811.1	phosphotransferase	Bacteria	Bacillota	Clostridia	Eubacteriales	Candidatus	Candidatus Formimonas warabiya
Type	WP_148133815.1	GCF_002777255.1	+	1517129	1518124	3821	4816	0	WP_148133810.1	choline/ethanolamine kinase family protein	Bacteria	Bacillota	Clostridia	Eubacteriales	Candidatus	Candidatus Formimonas warabiya
Type	WP_148133815.1	GCF_002777255.1	+	1515398	1516864	5081	6547	98	WP_148133809.1	amidohydrolase family protein	Bacteria	Bacillota	Clostridia	Eubacteriales	Candidatus	Candidatus Formimonas warabiya

Type	WP_017304341.1	GCF_000314005.1	-	1865892	1866572	-3685	-3005	0	WP_017304345.1	Uma2 family endonuclease	Bacteria	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulina	Spirulina subsalsa
Type	WP_017304341.1	GCF_000314005.1	-	1864060	1865787	-2900	-1173	93	WP_017304344.1	MFS transporter	Bacteria	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulina	Spirulina subsalsa
Type	WP_017304341.1	GCF_000314005.1	+	1863316	1863846	-959	-429	0	WP_017304343.1	phosphoribosyltransferase family protein	Bacteria	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulina	Spirulina subsalsa
Type	WP_017304341.1	GCF_000314005.1	+	1862986	1863234	-347	-99	109	WP_017304342.1	30S ribosomal protein S16	Bacteria	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulina	Spirulina subsalsa
Type	WP_017304341.1	GCF_000314005.1	+	1862509	1862886	1	378	110	WP_017304341.1	KH domain-containing protein	Bacteria	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulina	Spirulina subsalsa
